Data          Hora     Temp_atual   Temp_med   Temp_min   Temp_max   Umi_atual   Umi_med   Umi_min   Umi_max
2024-10-11   11:24:18   26.16°C     26.12°C     26.06°C   26.18°C    74.10RH    74.17RH    74.09RH   74.27RH
2024-10-11   11:24:23   26.18°C     26.12°C     26.06°C   26.18°C    74.11RH    74.17RH    74.09RH   74.27RH
2024-10-11   11:24:28   26.16°C     26.12°C     26.06°C   26.18°C    74.11RH    74.17RH    74.09RH   74.27RH
2024-10-11   11:24:33   26.18°C     26.12°C     26.06°C   26.18°C    74.09RH    74.16RH    74.09RH   74.27RH
2024-10-11   11:24:38   26.18°C     26.12°C     26.06°C   26.18°C    74.05RH    74.16RH    74.05RH   74.27RH
2024-10-11   11:24:43   26.18°C     26.13°C     26.06°C   26.18°C    74.07RH    74.16RH    74.05RH   74.27RH
2024-10-11   11:24:49   26.18°C     26.13°C     26.06°C   26.18°C    74.06RH    74.16RH    74.05RH   74.27RH
2024-10-11   11:24:54   26.18°C     26.13°C     26.06°C   26.18°C    74.04RH    74.16RH    74.04RH   74.27RH
2024-10-11   11:24:59   26.18°C     26.13°C     26.06°C   26.18°C    74.05RH    74.16RH    74.04RH   74.27RH
2024-10-11   11:25:04   26.16°C     26.13°C     26.06°C   26.18°C    74.02RH    74.16RH    74.02RH   74.27RH
2024-10-11   11:25:09   26.18°C     26.13°C     26.06°C   26.18°C    74.07RH    74.15RH    74.02RH   74.27RH
2024-10-11   11:25:14   26.19°C     26.13°C     26.06°C   26.19°C    74.07RH    74.15RH    74.02RH   74.27RH
2024-10-11   11:25:19   26.21°C     26.13°C     26.06°C   26.21°C    74.14RH    74.15RH    74.02RH   74.27RH
2024-10-11   11:25:24   26.21°C     26.13°C     26.06°C   26.21°C    74.12RH    74.15RH    74.02RH   74.27RH
2024-10-11   11:25:29   26.25°C     26.13°C     26.06°C   26.25°C    74.08RH    74.15RH    74.02RH   74.27RH
2024-10-11   11:25:34   26.23°C     26.13°C     26.06°C   26.25°C    74.02RH    74.15RH    74.02RH   74.27RH
2024-10-11   11:25:39   26.25°C     26.13°C     26.06°C   26.25°C    73.91RH    74.15RH    73.91RH   74.27RH
2024-10-11   11:25:44   26.23°C     26.14°C     26.06°C   26.25°C    73.86RH    74.14RH    73.86RH   74.27RH
2024-10-11   11:25:49   26.25°C     26.14°C     26.06°C   26.25°C    73.83RH    74.14RH    73.83RH   74.27RH
2024-10-11   11:25:54   26.22°C     26.14°C     26.06°C   26.25°C    73.82RH    74.14RH    73.82RH   74.27RH
2024-10-11   11:25:59   26.25°C     26.14°C     26.06°C   26.25°C    73.79RH    74.13RH    73.79RH   74.27RH
2024-10-11   11:26:04   26.23°C     26.14°C     26.06°C   26.25°C    73.81RH    74.13RH    73.79RH   74.27RH
2024-10-11   11:26:09   26.23°C     26.14°C     26.06°C   26.25°C    73.76RH    74.13RH    73.76RH   74.27RH
2024-10-11   11:26:14   26.23°C     26.14°C     26.06°C   26.25°C    73.79RH    74.12RH    73.76RH   74.27RH
2024-10-11   11:26:19   26.21°C     26.14°C     26.06°C   26.25°C    73.74RH    74.12RH    73.74RH   74.27RH
2024-10-11   11:26:24   26.23°C     26.14°C     26.06°C   26.25°C    73.76RH    74.11RH    73.74RH   74.27RH
2024-10-11   11:26:29   26.22°C     26.14°C     26.06°C   26.25°C    73.78RH    74.11RH    73.74RH   74.27RH
2024-10-11   11:26:34   26.23°C     26.15°C     26.06°C   26.25°C    73.78RH    74.11RH    73.74RH   74.27RH
2024-10-11   11:26:39   26.21°C     26.15°C     26.06°C   26.25°C    73.78RH    74.10RH    73.74RH   74.27RH
2024-10-11   11:26:45   26.23°C     26.15°C     26.06°C   26.25°C    73.79RH    74.10RH    73.74RH   74.27RH
2024-10-11   11:26:50   26.21°C     26.15°C     26.06°C   26.25°C    73.81RH    74.10RH    73.74RH   74.27RH
2024-10-11   11:26:55   26.21°C     26.15°C     26.06°C   26.25°C    73.80RH    74.10RH    73.74RH   74.27RH
2024-10-11   11:27:00   26.22°C     26.15°C     26.06°C   26.25°C    73.79RH    74.09RH    73.74RH   74.27RH
2024-10-11   11:27:05   26.21°C     26.15°C     26.06°C   26.25°C    73.79RH    74.09RH    73.74RH   74.27RH
2024-10-11   11:27:10   26.21°C     26.15°C     26.06°C   26.25°C    73.79RH    74.09RH    73.74RH   74.27RH
2024-10-11   11:27:15   26.22°C     26.15°C     26.06°C   26.25°C    73.76RH    74.08RH    73.74RH   74.27RH
2024-10-11   11:27:20   26.21°C     26.15°C     26.06°C   26.25°C    73.78RH    74.08RH    73.74RH   74.27RH
2024-10-11   11:27:25   26.22°C     26.15°C     26.06°C   26.25°C    73.80RH    74.08RH    73.74RH   74.27RH
2024-10-11   11:27:30   26.21°C     26.15°C     26.06°C   26.25°C    73.81RH    74.08RH    73.74RH   74.27RH
2024-10-11   11:27:35   26.22°C     26.15°C     26.06°C   26.25°C    73.77RH    74.07RH    73.74RH   74.27RH
2024-10-11   11:27:40   26.21°C     26.15°C     26.06°C   26.25°C    73.81RH    74.07RH    73.74RH   74.27RH
2024-10-11   11:27:45   26.22°C     26.15°C     26.06°C   26.25°C    73.80RH    74.07RH    73.74RH   74.27RH
2024-10-11   11:27:50   26.22°C     26.15°C     26.06°C   26.25°C    73.78RH    74.07RH    73.74RH   74.27RH
2024-10-11   11:27:55   26.22°C     26.16°C     26.06°C   26.25°C    73.79RH    74.06RH    73.74RH   74.27RH
2024-10-11   11:28:00   26.22°C     26.16°C     26.06°C   26.25°C    73.77RH    74.06RH    73.74RH   74.27RH
2024-10-11   11:28:05   26.22°C     26.16°C     26.06°C   26.25°C    73.77RH    74.06RH    73.74RH   74.27RH
