Data          Hora     Temp_atual   Temp_med   Temp_min   Temp_max   Umi_atual   Umi_med   Umi_min   Umi_max
2024-10-11   13:47:00   26.83°C     26.82°C     26.80°C   26.85°C    67.84RH    67.99RH    67.84RH   68.10RH
2024-10-11   13:47:05   26.81°C     26.82°C     26.80°C   26.85°C    67.80RH    67.99RH    67.80RH   68.10RH
2024-10-11   13:47:10   26.85°C     26.82°C     26.80°C   26.85°C    67.75RH    67.99RH    67.75RH   68.10RH
2024-10-11   13:47:15   26.83°C     26.82°C     26.80°C   26.85°C    67.71RH    67.98RH    67.71RH   68.10RH
2024-10-11   13:47:20   26.84°C     26.82°C     26.80°C   26.85°C    67.71RH    67.98RH    67.71RH   68.10RH
2024-10-11   13:47:25   26.83°C     26.82°C     26.80°C   26.85°C    67.68RH    67.98RH    67.68RH   68.10RH
2024-10-11   13:47:30   26.84°C     26.82°C     26.80°C   26.85°C    67.65RH    67.97RH    67.65RH   68.10RH
2024-10-11   13:47:35   26.81°C     26.82°C     26.80°C   26.85°C    67.58RH    67.97RH    67.58RH   68.10RH
2024-10-11   13:47:41   26.83°C     26.82°C     26.80°C   26.85°C    67.64RH    67.96RH    67.58RH   68.10RH
2024-10-11   13:47:46   26.83°C     26.82°C     26.80°C   26.85°C    67.58RH    67.96RH    67.58RH   68.10RH
2024-10-11   13:47:51   26.83°C     26.82°C     26.80°C   26.85°C    67.56RH    67.96RH    67.56RH   68.10RH
2024-10-11   13:47:56   26.83°C     26.82°C     26.80°C   26.85°C    67.56RH    67.95RH    67.56RH   68.10RH
2024-10-11   13:48:01   26.81°C     26.82°C     26.80°C   26.85°C    67.53RH    67.95RH    67.53RH   68.10RH
2024-10-11   13:48:06   26.81°C     26.82°C     26.80°C   26.85°C    67.50RH    67.94RH    67.50RH   68.10RH
2024-10-11   13:48:11   26.83°C     26.82°C     26.80°C   26.85°C    67.52RH    67.94RH    67.50RH   68.10RH
2024-10-11   13:48:16   26.83°C     26.82°C     26.80°C   26.85°C    67.49RH    67.93RH    67.49RH   68.10RH
2024-10-11   13:48:21   26.83°C     26.82°C     26.80°C   26.85°C    67.50RH    67.93RH    67.49RH   68.10RH
2024-10-11   13:48:26   26.83°C     26.82°C     26.80°C   26.85°C    67.49RH    67.92RH    67.49RH   68.10RH
2024-10-11   13:48:31   26.83°C     26.82°C     26.80°C   26.85°C    67.46RH    67.92RH    67.46RH   68.10RH
2024-10-11   13:48:36   26.83°C     26.82°C     26.80°C   26.85°C    67.45RH    67.92RH    67.45RH   68.10RH
2024-10-11   13:48:41   26.83°C     26.82°C     26.80°C   26.85°C    67.38RH    67.91RH    67.38RH   68.10RH
2024-10-11   13:48:46   26.83°C     26.82°C     26.80°C   26.85°C    67.38RH    67.90RH    67.38RH   68.10RH
2024-10-11   13:48:51   26.83°C     26.82°C     26.80°C   26.85°C    67.38RH    67.90RH    67.38RH   68.10RH
2024-10-11   13:48:56   26.84°C     26.82°C     26.80°C   26.85°C    67.38RH    67.89RH    67.38RH   68.10RH
2024-10-11   13:49:01   26.83°C     26.82°C     26.80°C   26.85°C    67.38RH    67.89RH    67.38RH   68.10RH
2024-10-11   13:49:06   26.83°C     26.82°C     26.80°C   26.85°C    67.40RH    67.89RH    67.38RH   68.10RH
2024-10-11   13:49:11   26.83°C     26.82°C     26.80°C   26.85°C    67.41RH    67.88RH    67.38RH   68.10RH
2024-10-11   13:49:16   26.84°C     26.82°C     26.80°C   26.85°C    67.35RH    67.88RH    67.35RH   68.10RH
2024-10-11   13:49:21   26.83°C     26.82°C     26.80°C   26.85°C    67.37RH    67.87RH    67.35RH   68.10RH
2024-10-11   13:49:26   26.84°C     26.82°C     26.80°C   26.85°C    67.35RH    67.87RH    67.35RH   68.10RH
2024-10-11   13:49:31   26.85°C     26.82°C     26.80°C   26.85°C    67.33RH    67.86RH    67.33RH   68.10RH
2024-10-11   13:49:37   26.81°C     26.82°C     26.80°C   26.85°C    67.34RH    67.86RH    67.33RH   68.10RH
2024-10-11   13:49:42   26.83°C     26.82°C     26.80°C   26.85°C    67.33RH    67.85RH    67.33RH   68.10RH
2024-10-11   13:49:47   26.84°C     26.82°C     26.80°C   26.85°C    67.28RH    67.85RH    67.28RH   68.10RH
2024-10-11   13:49:52   26.85°C     26.82°C     26.80°C   26.85°C    67.29RH    67.84RH    67.28RH   68.10RH
2024-10-11   13:49:57   26.84°C     26.82°C     26.80°C   26.85°C    67.23RH    67.84RH    67.23RH   68.10RH
2024-10-11   13:50:02   26.83°C     26.82°C     26.80°C   26.85°C    67.25RH    67.83RH    67.23RH   68.10RH
2024-10-11   13:50:07   26.85°C     26.82°C     26.80°C   26.85°C    67.25RH    67.83RH    67.23RH   68.10RH
2024-10-11   13:50:12   26.83°C     26.82°C     26.80°C   26.85°C    67.26RH    67.82RH    67.23RH   68.10RH
2024-10-11   13:50:17   26.85°C     26.82°C     26.80°C   26.85°C    67.21RH    67.82RH    67.21RH   68.10RH
