Data          Hora     Temp_atual   Temp_med   Temp_min   Temp_max   Umi_atual   Umi_med   Umi_min   Umi_max
2024-10-15   10:58:26   26.90°C     26.89°C     26.84°C   26.94°C    57.54RH    57.73RH    57.40RH   58.30RH
2024-10-15   10:58:32   26.91°C     26.89°C     26.84°C   26.94°C    57.50RH    57.73RH    57.40RH   58.30RH
2024-10-15   10:58:38   26.91°C     26.89°C     26.84°C   26.94°C    57.51RH    57.73RH    57.40RH   58.30RH
2024-10-15   10:58:44   26.91°C     26.89°C     26.84°C   26.94°C    57.51RH    57.73RH    57.40RH   58.30RH
2024-10-15   10:58:50   26.91°C     26.90°C     26.84°C   26.94°C    57.49RH    57.73RH    57.40RH   58.30RH
2024-10-15   10:58:56   26.91°C     26.90°C     26.84°C   26.94°C    57.50RH    57.73RH    57.40RH   58.30RH
2024-10-15   10:59:02   26.90°C     26.90°C     26.84°C   26.94°C    57.49RH    57.72RH    57.40RH   58.30RH
2024-10-15   10:59:08   26.91°C     26.90°C     26.84°C   26.94°C    57.52RH    57.72RH    57.40RH   58.30RH
2024-10-15   10:59:14   26.88°C     26.90°C     26.84°C   26.94°C    57.54RH    57.72RH    57.40RH   58.30RH
2024-10-15   10:59:21   26.93°C     26.90°C     26.84°C   26.94°C    57.50RH    57.72RH    57.40RH   58.30RH
2024-10-15   10:59:27   26.94°C     26.90°C     26.84°C   26.94°C    57.54RH    57.72RH    57.40RH   58.30RH
2024-10-15   10:59:33   26.93°C     26.90°C     26.84°C   26.94°C    57.52RH    57.72RH    57.40RH   58.30RH
2024-10-15   10:59:39   26.91°C     26.90°C     26.84°C   26.94°C    57.54RH    57.72RH    57.40RH   58.30RH
2024-10-15   10:59:45   26.91°C     26.90°C     26.84°C   26.94°C    57.57RH    57.72RH    57.40RH   58.30RH
2024-10-15   10:59:51   26.91°C     26.90°C     26.84°C   26.94°C    57.53RH    57.71RH    57.40RH   58.30RH
2024-10-15   10:59:57   26.94°C     26.90°C     26.84°C   26.94°C    57.48RH    57.71RH    57.40RH   58.30RH
2024-10-15   11:00:03   26.91°C     26.90°C     26.84°C   26.94°C    57.43RH    57.71RH    57.40RH   58.30RH
2024-10-15   11:00:09   26.93°C     26.90°C     26.84°C   26.94°C    57.39RH    57.71RH    57.39RH   58.30RH
2024-10-15   11:00:15   26.93°C     26.90°C     26.84°C   26.94°C    57.42RH    57.71RH    57.39RH   58.30RH
2024-10-15   11:00:21   26.93°C     26.90°C     26.84°C   26.94°C    57.45RH    57.70RH    57.39RH   58.30RH
2024-10-15   11:00:27   26.93°C     26.90°C     26.84°C   26.94°C    57.46RH    57.70RH    57.39RH   58.30RH
2024-10-15   11:00:33   26.94°C     26.90°C     26.84°C   26.94°C    57.54RH    57.70RH    57.39RH   58.30RH
2024-10-15   11:00:39   26.91°C     26.90°C     26.84°C   26.94°C    57.50RH    57.70RH    57.39RH   58.30RH
2024-10-15   11:00:45   26.94°C     26.90°C     26.84°C   26.94°C    57.52RH    57.70RH    57.39RH   58.30RH
